Sex,Age,2008Q3,2009Q3,2010Q3,2011Q3,2012Q3,2013Q3,2014Q3,2015Q3,2016Q3,2017Q3,2018Q3,2019Q3
Men,0 years,33301,33373,32608,31355,29933,29591,28747,29360,31149,32001,31900,31471
Men,1 year,33391,33573,33697,32846,31577,30199,29857,29093,29788,31427,32159,32066
Men,2 years,33456,33499,33755,33836,32990,31729,30361,30162,29386,30008,31570,32268
Men,3 years,33377,33557,33625,33839,33939,33134,31874,30625,30465,29581,30101,31612
Men,4 years,33635,33462,33638,33684,33902,34002,33258,32137,30890,30648,29637,30095
Men,5 years,33028,33735,33515,33660,33748,33983,34143,33453,32435,31072,30668,29702
Men,6 years,33126,33090,33783,33585,33697,33798,34099,34355,33789,32608,31124,30736
Men,7 years,34418,33168,33134,33828,33609,33760,33927,34349,34656,33986,32683,31193
Men,8 years,34293,34420,33198,33153,33887,33701,33851,34122,34641,34830,34082,32740
Men,9 years,34622,34360,34458,33229,33198,33919,33868,34034,34423,34829,34917,34171
Men,10 years,34428,34680,34422,34503,33284,33248,34013,34037,34270,34603,34913,34995
Men,11 years,35756,34507,34735,34479,34542,33319,33347,34187,34266,34409,34706,34982
Men,12 years,36337,35792,34559,34784,34556,34592,33417,33502,34389,34416,34516,34776
Men,13 years,37027,36406,35865,34613,34831,34606,34694,33584,33749,34542,34503,34571
Men,14 years,36073,37101,36436,35942,34670,34904,34706,34860,33795,33850,34629,34596
Men,15 years,36154,36188,37191,36526,36056,34789,35052,34923,35127,33984,33994,34734
Men,16 years,35364,36308,36344,37386,36695,36238,34994,35314,35266,35386,34234,34190
Men,17 years,34896,35556,36466,36502,37559,36865,36417,35271,35709,35546,35595,34309
Men,18 years,33957,35029,35639,36551,36589,37639,37046,36703,35627,35965,35740,35707
Men,19 years,33140,34188,35346,35957,36925,37049,38174,37711,37558,36281,36572,36221
Men,20 years,32100,33783,34778,35993,36604,37652,37834,39244,38716,38417,37058,37229
Men,21 years,31979,32813,34344,35350,36602,37311,38281,38803,40120,39381,39094,37644
Men,22 years,31693,32705,33273,34862,35852,37114,37904,39003,39505,40658,39937,39597
Men,23 years,30862,32327,33150,33701,35419,36450,37688,38548,39906,40210,41270,40561
Men,24 years,30264,31246,32644,33491,34165,35893,37180,38531,39544,40685,40743,41736
Men,25 years,30262,30533,31473,32878,33737,34633,36456,37936,39403,40109,41144,41149
Men,26 years,30711,30652,30692,31676,33156,34136,35131,37126,38702,39984,40444,41479
Men,27 years,31123,31000,30708,30951,31912,33426,34577,35803,37793,39063,40180,40694
Men,28 years,32707,31349,31122,30943,31104,32095,33856,35213,36413,38154,39343,40277
Men,29 years,33703,32995,31511,31323,31030,31272,32447,34358,35851,36675,38357,39567
Men,30 years,34496,33948,33127,31690,31395,31142,31703,32972,34876,36120,36799,38483
Men,31 years,34571,34716,34023,33352,31794,31594,31528,32291,33484,35173,36278,36903
Men,32 years,37400,34711,34730,34164,33488,31952,31901,32044,32710,33706,35264,36311
Men,33 years,38347,37607,34749,34835,34240,33602,32203,32373,32456,32974,33721,35250
Men,34 years,38009,38452,37645,34821,34890,34340,33910,32653,32651,32653,33030,33838
Men,35 years,38782,38109,38486,37691,34928,35004,34592,34273,32962,32868,32804,33088
Men,36 years,40677,38876,38141,38544,37686,34983,35236,34891,34545,33108,32933,32874
Men,37 years,39109,40707,38958,38178,38577,37739,35219,35533,35151,34634,33255,32982
Men,38 years,37737,39227,40755,38907,38181,38590,37911,35483,35707,35266,34749,33290
Men,39 years,38810,37819,39198,40730,38858,38190,38765,38197,35715,35775,35361,34815
Men,40 years,40997,38844,37788,39144,40717,38902,38310,38988,38366,35753,35883,35392
Men,41 years,44966,40968,38792,37743,39104,40704,39017,38479,39166,38491,35804,35917
Men,42 years,45009,44988,40915,38720,37762,39041,40816,39192,38593,39201,38537,35799
Men,43 years,43639,44990,44920,40887,38686,37723,39134,40985,39309,38620,39219,38516
Men,44 years,42807,43622,44872,44825,40838,38627,37719,39251,41086,39304,38678,39269
Men,45 years,40918,42801,43501,44771,44768,40774,38669,37802,39379,41116,39317,38655
Men,46 years,39582,40867,42655,43426,44702,44680,40835,38739,37879,39341,41153,39290
Men,47 years,38611,39515,40779,42549,43331,44561,44589,40846,38801,37879,39312,41098
Men,48 years,37952,38522,39396,40683,42418,43202,44524,44556,40857,38797,37819,39249
Men,49 years,36813,37806,38380,39232,40526,42285,43103,44535,44554,40792,38753,37737
Men,50 years,37312,36668,37620,38224,39047,40356,42187,43078,44497,44479,40722,38673
Men,51 years,36931,37192,36461,37463,38075,38851,40209,42125,43012,44423,44408,40645
Men,52 years,36618,36778,36989,36300,37283,37967,38718,40093,42031,42906,44268,44266
